number-1,number-2,log-likelyhood-score,source,log-likelyhood-score-scaled
0.6585669805353076,0.3848580968280468,1.6507964589259863,week-x,10.0
0.6699368495746805,0.3229883138564274,1.5579162749648372,week-x,9.437361381174895
0.6775167622675956,0.25383973288814693,1.5014294504861596,week-x,9.095182161118728
0.7026365569244406,0.9265641975455574,0.6112052157614438,file,3.7024868357125986
0.715,0.95,0.5976293971773099,week-8,3.620248843798281
0.691873,0.263356,0.5960813635984847,week-4,3.610871348647654
0.72,0.95,0.565857330050682,week-9,3.427783764564352
0.6657995800131589,0.12396912767534907,0.5389961189269181,file,3.2650670893587375
0.722766,0.839711,0.5338269840060812,week-3,3.2337541137772416
0.8777909889953304,0.7786275008473289,0.42058623962798264,file,2.5477776945415633
0.8452754286767249,0.7111202665952655,0.293992912410866,file,1.7809155745472023
0.4381660616117107,0.6850182567997548,0.24461934400448035,file,1.4818261977835263
0.45464714105124415,0.2904551797740609,0.2149645101004509,file,1.3021866441384755
0.616162,1.0,0.18011924802681153,week-2,1.0911051271820496
0.818182,0.939394,0.051646432712366415,week-1,0.3128576659654804
1.077791,0.61799,0.04170782561126679,week-7,0.25265274459337067
0.34174959302885033,0.028697719822277867,0.0387490151561584,file,0.2347292117489072
0.6699368495746805,0.3229883138564274,0.031324502476870915,week-x,0.18975387490987677
0.5777128444074784,0.7719731841154063,0.023105549798190586,file,0.13996607318398982
0.977791,0.26196,0.021320835230587712,week-6,0.12915483986717005
0.790304,0.104833,0.01686172630224915,week-5,0.10214297596215735
0.6585669805353076,0.3848580968280468,0.0014098002855501101,week-x,0.008540121817727491
0.6699368495746805,0.3229883138564274,0.0007754497471324237,week-x,0.00469742797750447
0.65477702418885,0.38667779632721205,5.140318383234572e-05,week-x,0.0003113841416027073
0.6907816094801973,0.5140567612687814,1.5901914829533094e-06,week-x,9.632874327752637e-06
0.6907816094801973,0.5140567612687814,7.897127866115263e-08,week-x,4.783828935066386e-07
0.33864815688701766,0.21386724563864368,-0.013857618149729824,file,-0.08394504407130626
0.14269907423594608,0.34900513057320015,-0.06562362443733738,file,-0.39752704873157
