floor,sugar,eggs,butter,milk,flavour-score,source,flavour-score-scaled
1.212531767480555,0.054021639933492065,0.060317893936810085,0.08815277853845059,1.1716584073867575,0.07065859845479494,week-x,10.0
1.212531767480555,0.054021639933492065,0.060317893936810085,0.08815277853845059,1.1716584073867575,0.0575959784421719,week-x,8.151304965243533
0.733334,0.2,0.666667,0.733334,0.133334,-0.5377942602933444,week-1,-76.11165124332427
0.65,0.2,0.7,0.7,0.15,-0.6349274195629477,week-8,-89.85847914449555
0.667597,0.157201,0.738339,0.678368,0.179636,-0.6833253974004205,week-3,-96.70803162584518
0.757576,0.10101,0.707071,0.757576,0.151515,-0.7102415173770004,week-2,-100.51735144893789
0.7281861047460138,0.1546925696237983,0.7325516687239811,0.6939965090690888,0.056401310518258585,-0.7142649478202404,file,-101.08676982564319
0.7,0.15,0.75,0.7,0.1,-0.7453415482672865,week-9,-105.48490411172415
0.6188122987341569,0.33180213718420826,0.18728786777392725,0.756238474019041,0.3288347983365967,-0.8292365522578722,file,-117.35819424558647
0.501329,0.21139,0.390924,0.97055,0.015922,-0.8866184075971868,week-5,-125.47919531186515
0.7828798232609253,0.5363358585071114,0.4432835567472584,0.8596998258165416,0.010325990675527863,-0.9357565553342914,file,-132.43350077669
0.5367969034860786,0.30878090723949325,0.41187928506492233,0.388225176718074,0.5225283039122706,-1.1447848512705794,file,-162.01635417421636
0.24238434723790758,0.8440999723462298,0.5778090988182423,0.6790212842838805,0.5019528879463457,-1.2099552446764819,file,-171.23963270380625
0.14511078573766278,0.8966845977360148,0.8963222346125226,0.7262715366744776,0.23627199091209328,-1.2337863805718483,file,-174.61234832745578
0.7849580941321159,0.9106823491056887,0.7081201035127033,0.9592254289504146,0.004911495864404647,-1.2470489267904978,file,-176.48933803694376
0.4321659328846983,0.7156178127534056,0.3418191030223866,0.7049998807959096,0.6149618447218453,-1.2942469649550403,file,-183.16906834531358
0.7575943553544202,0.35583141491553005,0.01652289968556364,0.43420720498662724,0.1124330443582503,-1.309116352823696,file,-185.27346727111006
0.021735307663796388,0.42808424031907244,0.8359394371193622,0.48948865944643416,0.511081734720247,-1.3566821093823407,file,-192.0052391430183
0.57822,0.311822,0.237757,0.422315,0.588271,-1.4991274726694743,week-4,-212.1649035578546
0.770620241725545,0.11440374416322774,0.0467799318531783,0.6483242845395736,0.2735490526883131,-1.5360577085694833,file,-217.3914770687396
0.6293078953337721,0.803483678101385,0.8114084389735914,0.045613185779449616,0.11062446198967957,-1.622838951777173,file,-229.67324391742815
0.7295226100931684,0.7481062003003915,0.6797746408949024,0.3565522793389573,0.6710536834597941,-1.6721999396105658,file,-236.65908695887657
0.9450690681186655,0.28845905059517574,0.9788057635601997,0.9616555869902994,0.5980159363909763,-1.6943434420704928,file,-239.7929592609282
0.2589055738489062,0.7936777082611537,0.6421139049230902,0.19667346401384578,0.593103176750458,-1.7025578405650035,file,-240.955506873554
0.12667891706137568,0.29147030149847064,0.06452847667069161,0.6805146028541535,0.892819191058788,-1.7468820870493065,file,-247.22852211212543
0.9577396688833609,0.23566857232470817,0.09914584955722228,0.1568059338564619,0.07131737310621111,-1.9126771431925136,file,-270.6927656392989
0.4393442638884286,0.6989238329035616,0.4268202222118266,0.10947608505219697,0.8778884681100685,-2.018425399374782,file,-285.65885023407367
0.69791,0.990583,1.035622,0.974136,0.655285,-2.0390133791009304,week-6,-288.572576259834
0.9217761980413874,0.9318712161635005,0.41487636976457365,0.5950572655783101,0.7356256864317131,-2.1557677641786004,file,-305.0963097658652
0.909574,1.046923,0.862744,0.923652,0.853835,-2.3063646975145775,week-7,-326.40962996033863
0.12572015503019873,0.8627246921598651,0.028544332231059788,0.24660527193052817,0.7512062409044311,-2.5711696316081234,file,-363.8863051116239
0.660796,1.092932,0.153903,0.052573,0.959181,-3.039360793240201,week-10,-430.1473365884386
1.044814,1.182954,0.060528,0.012709,1.023245,-3.778114188571625,week-11,-534.6998484535096
1.118499,1.270729,1.103597,0.014933,1.086242,-3.80102263557403,week-12,-537.9419799850402
