number-1,number-2,log-likelyhood-score,source,log-likelyhood-score-scaled
0.7201762284212746,0.6919863589463514,1.2159974969309761,week-x,10.0
0.7301947018547599,0.6835225957485559,1.0943111132919443,week-x,8.999287548320183
0.7348342307989915,0.6792182172303852,0.9786225207304394,week-x,8.04789913795348
0.7026365569244406,0.9265641975455574,0.6112052157614438,file,5.026369028752513
0.715,0.95,0.5976293971773099,week-8,4.914725554005258
0.691873,0.263356,0.5960813635984847,week-4,4.901994988500541
0.721765,0.565232,0.570095676491088,week-11,4.688296463849123
0.72,0.95,0.565857330050682,week-9,4.653441569401535
0.6657995800131589,0.12396912767534907,0.5389961189269181,file,4.43254299689988
0.722766,0.839711,0.5338269840060812,week-3,4.390033576166012
0.658567,0.384858,0.4902737196519932,week-10,4.031864546509199
0.8777909889953304,0.7786275008473289,0.42058623962798264,file,3.4587755376922167
0.8452754286767249,0.7111202665952655,0.293992912410866,file,2.417709848522443
0.4381660616117107,0.6850182567997548,0.24461934400448035,file,2.0116763778039726
0.45464714105124415,0.2904551797740609,0.2149645101004509,file,1.7678038864635341
0.616162,1.0,0.18011924802681153,week-2,1.4812468650750494
0.818182,0.939394,0.051646432712366415,week-1,0.42472482749936147
1.077791,0.61799,0.04170782561126679,week-7,0.34299269296632656
0.34174959302885033,0.028697719822277867,0.0387490151561584,file,0.3186603200578621
0.5777128444074784,0.7719731841154063,0.023105549798190586,file,0.1900131361824845
0.977791,0.26196,0.021320835230587712,week-6,0.17533617696088027
0.790304,0.104833,0.01686172630224915,week-5,0.13866579778992977
0.7402830235885689,1.199303038051395,4.5088027096384035e-05,week-x,0.0003707904597680547
0.7421803930723648,1.199032034273823,7.119506931265153e-06,week-x,5.85486972566464e-05
0.7421803930723648,1.199032034273823,2.438432219180198e-06,week-x,2.0052937817178838e-05
0.7421803930723648,1.199032034273823,3.533870281635297e-07,week-x,2.9061493058615155e-06
0.7704347456438551,1.1989604328842052,1.335484702002786e-09,week-x,1.0982627064392652e-08
0.7704347456438551,1.1989604328842052,5.368719538570322e-11,week-x,4.4150744981961644e-10
0.33864815688701766,0.21386724563864368,-0.013857618149729824,file,-0.11396091015569275
0.043206,1.099323,-0.0410652057185971,week-12,-0.3377079790233161
0.14269907423594608,0.34900513057320015,-0.06562362443733738,file,-0.5396690750019068
