compound-1,compound-2,compound-3,trans-side-effect,source,trans-side-effect-scaled
0.689233,0.916340,0.010000,0.463769,week-x,10.000000
0.689233,0.916340,0.010000,0.354624,week-x,7.646574
0.731685,0.897819,0.010000,0.002861,week-x,0.061691
0.731685,0.897819,0.010000,0.002493,week-x,0.053762
0.731685,0.897819,0.010000,0.000193,week-x,0.004160
0.731685,0.897819,0.010000,0.000166,week-x,0.003584
0.492581,0.611593,0.340176,-0.034835,file,-0.751135
0.600097,0.725136,0.066089,-0.036378,file,-0.784396
0.220549,0.297825,0.343555,-0.046947,file,-1.012302
0.134622,0.219917,0.458206,-0.048008,file,-1.035162
0.965995,0.861120,0.566829,-0.056758,file,-1.223850
0.242114,0.644074,0.272433,-0.087963,file,-1.896696
0.170477,0.697032,0.149169,-0.094190,file,-2.030959
0.666014,0.671985,0.246295,-0.105965,file,-2.284867
0.345523,0.941360,0.269363,-0.110621,file,-2.385259
0.534906,0.398501,0.173389,-0.111415,file,-2.402374
0.171525,0.343917,0.248737,-0.112122,file,-2.417631
0.645503,0.397143,0.919771,-0.113869,file,-2.455285
0.046809,0.231360,0.770618,-0.118048,file,-2.545411
0.746912,0.284196,0.226300,-0.131461,file,-2.834614
0.151837,0.439991,0.990882,-0.398926,file,-8.601816
