number-1,number-2,log-likelyhood-score,source,log-likelyhood-score-scaled
0.702637,0.926564,0.611205,file,10.000000
0.691873,0.263356,0.596081,week-4,9.752557
0.665800,0.123969,0.538996,file,8.818579
0.722766,0.839711,0.533827,week-3,8.734006
1.077791,0.617990,0.486609,week-x,7.961459
0.877791,0.778628,0.420586,file,6.881261
0.845275,0.711120,0.293993,file,4.810052
0.438166,0.685018,0.244619,file,4.002246
0.838524,0.464623,0.236915,week-x,3.876194
0.454647,0.290455,0.214965,file,3.517059
0.616162,1.000000,0.180119,week-2,2.946952
0.838524,0.464623,0.113964,week-x,1.864579
0.818182,0.939394,0.051646,week-1,0.844993
0.341750,0.028698,0.038749,file,0.633977
0.577713,0.771973,0.023106,file,0.378033
0.977791,0.261960,0.021321,week-6,0.348833
0.790304,0.104833,0.016862,week-5,0.275877
1.077791,1.100000,0.000000,week-x,0.000000
1.077791,1.100000,0.000000,week-x,0.000000
1.077791,1.100000,0.000000,week-x,0.000000
1.077791,1.100000,0.000000,week-x,0.000000
0.338648,0.213867,-0.013858,file,-0.226726
0.142699,0.349005,-0.065624,file,-1.073676
