hype-para-1,hype-para-2,hype-para-3,hype-para-4,hype-para-5,hype-para-6,score,source,score-scaled
0.9851910404176218,1.0891334121967573,1.1313145631564048,0.3467863172718974,0.4572171742106229,1.1966368916224819,2.3780614870377565,week-x,10.0
0.038479,0.518839,0.311248,0.237261,0.417124,0.684376,1.415182353706698,week-3,5.950991433234667
0.057895541971385245,0.49167221863901367,0.24742222374867484,0.21811843639837636,0.42042832954601583,0.7309698428701273,1.3649683044991994,file,5.7398360468781595
0.6957826237533428,1.041879252450522,0.8712012079925269,0.6184925010642371,0.014352795513850493,1.1951044798905328,1.325747094800294,week-x,5.5749067129955385
0.0,0.5,0.214286,0.214286,0.428572,0.714286,1.181422704250112,week-1,4.968007390430248
0.067812,0.504863,0.287394,0.230127,0.473182,0.728104,1.1241859989248546,week-8,4.727320992550122
0.060606,0.484848,0.242424,0.181818,0.484848,0.727273,0.9769171261966855,week-2,4.108039811088261
0.056006,0.25269,0.914472,0.121294,0.362425,1.007224,0.9161953953665816,week-7,3.852698512467164
0.049863,0.526174,0.301564,0.217309,0.491237,0.791235,0.8608279363272374,week-9,3.6198724928661616
0.8816467367680777,0.20445018835916196,0.41447435851921566,0.4203846784242615,0.26491501481740265,0.7306601868760868,0.6751416308956351,file,2.839041944775904
0.14864702139126218,0.03394336343938997,0.7288056495692345,0.3160664556651587,0.021769382750669197,0.516917757345384,0.6115255284647864,file,2.571529507534038
0.2726238220336933,0.3244953623087271,0.8971088103082926,0.8329511521103058,0.1540626853924547,0.7958636234722036,0.6044326958745716,file,2.5417033965235527
0.5430025769847714,0.9246939036961066,0.3415674591580987,0.6464858491139559,0.7184403268342174,0.343132663729359,0.5627530668655433,file,2.366436149498133
0.06661051056630118,0.5280450659529847,0.8160951953117404,0.9610171372277223,0.08650933371690395,0.7777882160330215,0.5164572186199785,file,2.1717572124819444
0.107718,0.586286,0.175377,0.303162,0.560604,0.684376,0.4790359561505474,week-4,2.014396847018707
0.1759775366488313,0.6244164970552419,0.295541983522259,0.4695527590211096,0.09776977047772617,0.7281410813045498,0.4753955163956208,file,1.999088412923248
0.090408,0.599655,0.299291,0.287006,0.599215,0.826037,0.33553729563585927,week-6,1.410969806562163
0.41762629271823204,0.06409998138921869,0.2456687739007659,0.5590407960737909,0.19153138403844328,0.2546409230877973,0.2748925084715891,file,1.1559520641916212
0.6302176411815951,0.8380968963061266,0.6800130516496496,0.7318950900926644,0.5267367145175407,0.3484292133580069,0.27304680126759867,file,1.1481906702409141
0.9424508393797228,0.3774396214241422,0.4861223262441836,0.22879108306138052,0.08263174710408516,0.7119575508609557,0.26840031693744637,file,1.1286517123313766
0.170167,0.032372,0.330954,0.272601,0.031284,1.076438,0.2237511524097176,week-10,0.9408972544626434
0.7226152153368091,0.011812836708676278,0.06364591290841193,0.16517310603711322,0.07924414600207474,0.3599516573745739,0.20630969795359433,file,0.8675540942828396
1.004605,0.095923,1.042067,0.699317,0.031596,1.108582,0.16253706042540253,week-11,0.6834855251277274
0.6868525698557914,0.041017207781653076,0.007573010669658098,0.2850089958322135,0.6915684836560828,0.6555428970136261,0.10050661080108167,file,0.4226409255980938
0.4768231286900887,0.3409419502762441,0.014335232417323152,0.8801395630913645,0.9986546964586872,0.0796640185732378,0.0954111589101041,file,0.4012140116231959
0.19525188113467162,0.07922665059137424,0.5545804616685562,0.17056681968240583,0.014944176429292355,0.10703171010323376,0.09264495494793601,file,0.3895818314745917
0.7649191728046694,0.25588291701198074,0.6090842238764527,0.21807904189508076,0.3229427691734139,0.09579365511638072,0.08374657232015563,file,0.3521631916442789
0.528497327736147,0.45742435534127646,0.3600956902472011,0.36204550639420896,0.8168909784453008,0.6374763663139539,0.07351630421016164,file,0.30914383253284833
0.7262856636678173,0.46489580525881,0.9245705141349381,0.807245395137576,0.6354383951825947,0.14341787438449227,0.06676324688193327,file,0.28074651242553544
0.11886697487294917,0.6150549401610158,0.905816385208328,0.8553003035780179,0.41363142879453507,0.5852356278450974,0.06142430250355775,file,0.2582956867951771
0.3198104328384902,0.52009758758482,0.2906777543222766,0.8767066778579525,0.4950346891082852,0.6190824996433428,0.0421183545380621,file,0.17711213426414396
0.7899425542216801,0.19554500526335772,0.5756233261057669,0.07365918727355969,0.2590491743381623,0.05109986421364299,0.03356493603703717,file,0.14114410506200784
0.0,0.99097,0.990603,0.0,0.0,1.017683,0.028769356636723045,week-5,0.12097818661770487
0.8062820836261164,0.3241223746901364,0.7260760130795909,0.14871213154104346,0.7193764014954694,0.3628839783884743,0.021342522787312367,file,0.08974756499630202
0.541240780459459,0.6314031426898206,0.03190204632766469,0.4499815599100049,0.7986528164952386,0.6337042906107708,0.018209073006581165,file,0.07657107734949017
0.6423029815827472,0.8368745468225558,0.021792691485860827,0.10148800953865356,0.6830708282995157,0.6924164003473481,0.017869598722495817,file,0.075143552090216
0.8171123887819559,0.548168230898132,0.10334757767053271,0.12436954581241633,0.7282348211044535,0.4496736121668913,0.01479818260270181,file,0.06222792254684397
0.075664921203212,0.33450211886956494,0.13273273734822777,0.6083123613447988,0.9183859177326257,0.8223307855119826,0.008825633999510857,file,0.03711272415628138
0.09083224802375334,0.661529381768249,0.0659309106387106,0.2585770079605848,0.9634528513541345,0.6402653979255966,0.007503236678049401,file,0.031551903594367714
0.22634792132156234,0.1150258139009348,0.8247496553939904,0.9453837248568,0.905311527631774,0.9510139152470551,0.007016027558514625,file,0.0295031377311197
0.9851910404176218,1.0891334121967573,1.1313145631564048,0.3467863172718974,0.4572171742106229,1.1966368916224819,0.005329543813216472,week-x,0.02241129525988516
0.9851910404176218,1.0891334121967573,1.1313145631564048,0.3467863172718974,0.4572171742106229,1.1966368916224819,0.0041215463298091,week-x,0.017331538113184466
0.9324663796298105,0.4888118879321913,0.25860774176353407,0.9562434362289866,0.19042781042449652,0.5198517579933358,0.003777479616578685,file,0.01588470120376963
0.9851910404176218,1.0891334121967573,1.1313145631564048,0.3467863172718974,0.4572171742106229,1.1966368916224819,0.003166220955939811,week-x,0.013314293903661125
0.8468669651542917,0.14242917164851432,0.060668589780987436,0.7562921279692766,0.5523982951979418,0.08130608715208898,0.003134333310934767,file,0.013180202984738904
0.8798712775855185,0.3979619901837962,0.0036345648296357558,0.9569906396679158,0.264513732508431,0.11486924139305399,0.0027014650245082332,file,0.011359946070500162
