var-1,var-2,var-3,var-4,yield,source,yield-scaled
0.030296,1.089306,1.301036,0.017625,9832.0579380648,week-12,10.0
0.890679,1.008486,1.208429,0.45851,7827.226901543306,week-11,7.960924305826359
0.803,0.79,1.07,1.14,7705.825094042719,week-9,7.837448825651878
0.353188,0.520322,1.112618,1.186113,6717.039990516725,week-7,6.8317742153570045
0.797599,0.775484,1.047075,1.122867,6619.923795891087,week-6,6.732999172291348
0.263058,0.96254,0.979484,1.057644,4564.328857219503,week-5,4.642292474242559
0.28795,0.95,0.95,1.05,3942.207447141211,week-8,4.009544565313188
0.112614,0.025111,0.567469,1.144827,1246.5123230669396,week-10,1.2678040863053388
0.272727,0.848484,0.848485,0.818182,1118.8725469008125,week-3,1.1379840862909267
0.22418902330288348,0.8464804904862864,0.8794841797090803,0.8785156842249731,1088.8596181962705,file,1.1074585046745422
0.183674,0.857143,0.816327,0.877551,872.3074873002278,week-1,0.8872074318470912
0.272727,0.848484,0.848485,0.818182,743.1182481623213,week-2,0.7558115023766692
0.11987922582428101,0.8625403059525095,0.6433313263318788,0.8498038287021323,431.6127567592104,file,0.4389851641213608
0.242085,0.848724,0.469207,0.893286,386.6818739904094,week-4,0.3932868138351494
0.4389333758453766,0.7740917616539319,0.37816708638741714,0.933696206815422,355.8068177560159,file,0.3618843786289239
0.8364779930351233,0.19360964686178006,0.6638926969585176,0.7856488828898288,258.3705254462536,file,0.2627837702684526
0.46344226738528294,0.630024510146729,0.10790645581865044,0.957643898670113,233.22361017104996,file,0.2372073187934797
0.35235626946595233,0.32224153197183136,0.11697936758857319,0.4731125215557709,109.5718755614928,file,0.1114434803494042
0.5111417749497505,0.8179569972191587,0.7287104181315311,0.1123536230961304,79.72912992694343,file,0.08109098871180591
0.6834322498676915,0.11866264178849073,0.8290459096967396,0.5675766059352313,78.43438888779464,file,0.0797741321113823
0.1914470844571281,0.03819337135150802,0.6074178108720669,0.4145841369758819,64.443439863301,file,0.06554420271854614
0.5839734124984879,0.1472426461525712,0.34809746209352754,0.4286146510285499,64.42014681963983,file,0.06552051180479451
0.3068887187315784,0.3168781265532129,0.6226344812966896,0.09539905810631732,63.47671578508436,file,0.06456096595946037
0.553621479516824,0.6673499787364745,0.3238058191550842,0.8148697537245304,57.57153693261287,file,0.05855492033842146
0.35548160950061236,0.639619366711706,0.41761767886414536,0.12260383967133603,45.181570346703786,file,0.04595331987597774
0.7252617231526987,0.47987048629522777,0.08894684260658514,0.7597602201100938,28.866751637393822,file,0.029359826619446812
0.6774911484129013,0.3585095065455117,0.47959222446529515,0.07288048110014078,24.423088313942344,file,0.024840260775303602
0.7586529492430261,0.5365177380716337,0.6560003817255494,0.36034155302921755,18.30137959857266,file,0.018613986729796302
0.12688467007850324,0.15342962125134962,0.770162187580243,0.19051810509577394,9.972331894593824,file,0.010142669985686265
0.15378570594381347,0.7293816904129607,0.4225984366784806,0.4430741656488165,8.847991759070865,file,0.008999124918513627
0.7060508340594309,0.5341919611519633,0.2642433451718953,0.48208754903709394,4.210898128938665,file,0.004282824771237544
0.9788743361727392,1.1355481799484897,1.3974129715494428,1.2729227668401883,0.6203895991131906,week-x,0.0006309865167813475
0.9788743361727392,1.1355481799484897,1.3974129715494428,1.2729227668401883,0.6117319539514925,week-x,0.0006221809897836068
0.43834987265310876,0.8043397048222797,0.21024526639869967,0.15129481609432094,0.1129397953712203,file,0.00011486892783043317
