cont-src-1,cont-src-2,radiation-reading,source,radiation-reading-scaled
0.377044,0.968959,0.643866,week-x,10.000000
0.347680,0.911191,0.561057,week-x,8.713878
0.337893,0.876530,0.382639,week-x,5.942834
0.337893,0.882307,0.330091,week-x,5.126699
0.337893,0.876530,0.052114,week-x,0.809385
0.337893,0.876530,0.046617,week-x,0.724019
0.731024,0.733000,0.000000,file,0.000000
0.683418,0.861057,0.000000,file,0.000000
0.574329,0.879898,0.000000,file,0.000000
0.883890,0.582254,0.000000,file,0.000000
0.319404,0.762959,0.000000,file,0.000000
0.082507,0.403488,0.000000,file,0.000000
0.840353,0.264732,0.000000,file,0.000000
0.579291,1.059596,0.000000,week-3,0.000000
0.472352,1.055087,-0.000000,week-6,-0.000000
0.469395,1.050091,-0.000000,week-5,-0.000000
0.404040,0.959596,-0.000000,week-2,-0.000000
0.312691,0.078723,-0.000000,file,-0.000000
0.436769,0.825163,-0.000000,week-4,-0.000000
0.410437,0.147554,-0.000000,file,-0.000000
0.848485,0.777778,-0.000000,week-1,-0.000000
0.650114,0.681526,-0.003606,file,-0.056006
