cont-src-1,cont-src-2,radiation-reading,source,radiation-reading-scaled
1.0433521155818555,0.9494659190216342,2.0142387315124766,week-x,10.0
1.0433521155818555,0.9494659190216342,1.8715596280738958,week-x,9.291647503315339
1.0433521155818555,0.9494659190216342,1.8002200763546052,week-x,8.937471254973007
1.0433521155818555,0.9494659190216342,1.3503843545913696,week-x,6.704192176750451
1.0433521155818555,0.9494659190216342,1.3403843641281128,week-x,6.6545456760313035
1.0433521155818555,0.9494659190216342,1.2503843307495117,week-x,6.207726577726006
1.0033102182947684,0.9783329393465868,1.0,week-x,4.964654806578501
1.0033102182947684,0.9783329393465868,1.0,week-x,4.964654806578501
1.0033102182947684,0.9783329393465868,1.0,week-x,4.964654806578501
0.7310236309563586,0.7329998764152272,7.710875114502849e-16,file,3.828183320014312e-15
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40,file,1.2585405661695779e-39
0.5743292145098291,0.879898104984359,1.0330782375230975e-46,file,5.128876837490693e-46
0.8838898288181171,0.5822539743824439,6.229856468168659e-48,file,3.09290868589877e-47
0.31940388883889725,0.7629593742689353,1.3226770395454077e-79,file,6.56663492193013e-79
0.08250725182080587,0.403487506426324,3.6067711901420254e-81,file,1.7906373925367467e-80
0.8403534169072556,0.26473161399676703,3.341771007676023e-124,file,1.659073949574345e-123
0.579291,1.059596,4.5074380138539914e-133,week-3,2.237787380083487e-132
0.950054,1.057414,-5.41965897352555e-201,week-10,-2.6906735972929925e-200
0.472352,1.055087,-1.8022788966239472e-144,week-6,-8.947692586919078e-144
0.523861,1.067166,-1.3151574669815363e-142,week-7,-6.5293028398574904e-142
0.469395,1.050091,-6.688485279296031e-142,week-5,-3.320602059058659e-141
0.40404,0.959596,-9.343447791332904e-112,week-2,-4.6386992987256184e-111
0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91,file,-1.0371626945448516e-90
0.436769,0.825163,-1.5199719684953676e-55,week-4,-7.546136139255112e-55
0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54,file,-1.0719926103852376e-53
0.848485,0.777778,-1.2487829338434956e-49,week-1,-6.199776194879313e-49
0.65,0.69,-0.0011513293804727184,week-9,-0.00571595294271893
0.6501140597987644,0.6815263520602101,-0.0036060626443634764,file,-0.017902856240162312
0.65,0.68,-0.004236010437020722,week-8,-0.021030329576871624
