number-1,number-2,log-likelyhood-score,source,log-likelyhood-score-scaled
0.977791,0.263232,1.187832,week-x,10.000000
0.977791,0.263232,0.819670,week-x,6.900549
0.702637,0.926564,0.611205,file,5.145551
0.691873,0.263356,0.596081,week-4,5.018228
0.665800,0.123969,0.538996,file,4.537644
0.722766,0.839711,0.533827,week-3,4.494127
0.877791,0.778628,0.420586,file,3.540788
0.845275,0.711120,0.293993,file,2.475037
0.438166,0.685018,0.244619,file,2.059376
0.454647,0.290455,0.214965,file,1.809721
0.616162,1.000000,0.180119,week-2,1.516369
0.818182,0.939394,0.051646,week-1,0.434796
0.341750,0.028698,0.038749,file,0.326216
0.577713,0.771973,0.023106,file,0.194519
0.790304,0.104833,0.016862,week-5,0.141954
0.042699,1.100000,0.000040,week-x,0.000333
0.042699,1.100000,0.000005,week-x,0.000044
0.042699,1.100000,0.000001,week-x,0.000007
0.042699,1.100000,0.000000,week-x,0.000001
0.338648,0.213867,-0.013858,file,-0.116663
0.142699,0.349005,-0.065624,file,-0.552465
