compound-1,compound-2,compound-3,trans-side-effect,source,trans-side-effect-scaled
0.816589,0.797772,0.010000,0.690177,week-x,10.000000
0.816589,0.797772,0.010000,0.572607,week-x,8.296526
0.816589,0.797772,0.010000,0.007507,week-x,0.108774
0.816589,0.797772,0.010000,0.006670,week-x,0.096644
0.816589,0.797772,0.010000,0.000581,week-x,0.008412
0.816589,0.797772,0.010000,0.000510,week-x,0.007386
0.448900,0.470829,0.414315,-0.020404,week-4,-0.295640
0.303031,0.242424,0.474748,-0.030680,week-2,-0.444528
0.492581,0.611593,0.340176,-0.034835,file,-0.504730
0.600097,0.725136,0.066089,-0.036378,file,-0.527080
0.220549,0.297825,0.343555,-0.046947,file,-0.680223
0.134622,0.219917,0.458206,-0.048008,file,-0.695584
0.263346,0.138532,0.363743,-0.048179,week-3,-0.698070
0.965995,0.861120,0.566829,-0.056758,file,-0.822374
0.242114,0.644074,0.272433,-0.087963,file,-1.274497
0.170477,0.697032,0.149169,-0.094190,file,-1.364716
0.666014,0.671985,0.246295,-0.105965,file,-1.535331
0.345523,0.941360,0.269363,-0.110621,file,-1.602790
0.464647,0.666667,0.171718,-0.111186,week-1,-1.610974
0.534906,0.398501,0.173389,-0.111415,file,-1.614291
0.171525,0.343917,0.248737,-0.112122,file,-1.624543
0.645503,0.397143,0.919771,-0.113869,file,-1.649845
0.357938,0.038532,0.517008,-0.117539,week-5,-1.703025
0.046809,0.231360,0.770618,-0.118048,file,-1.710405
0.746912,0.284196,0.226300,-0.131461,file,-1.904737
0.116130,0.051462,0.314168,-0.148291,week-6,-2.148594
0.151837,0.439991,0.990882,-0.398926,file,-5.780046
