hype-para-1,hype-para-2,hype-para-3,hype-para-4,hype-para-5,hype-para-6,score,source,score-scaled
0.056006,0.252690,0.914472,0.121294,0.362425,1.007224,2.171953,week-x,10.000000
0.056006,0.252690,0.914472,0.121294,0.362425,1.007224,1.823640,week-x,8.396316
0.038479,0.518839,0.311248,0.237261,0.417124,0.684376,1.415182,week-3,6.515714
0.057896,0.491672,0.247422,0.218118,0.420428,0.730970,1.364968,file,6.284521
0.000000,0.500000,0.214286,0.214286,0.428572,0.714286,1.181423,week-1,5.439449
0.060606,0.484848,0.242424,0.181818,0.484848,0.727273,0.976917,week-2,4.497875
0.881647,0.204450,0.414474,0.420385,0.264915,0.730660,0.675142,file,3.108455
0.148647,0.033943,0.728806,0.316066,0.021769,0.516918,0.611526,file,2.815556
0.272624,0.324495,0.897109,0.832951,0.154063,0.795864,0.604433,file,2.782900
0.543003,0.924694,0.341567,0.646486,0.718440,0.343133,0.562753,file,2.591001
0.066611,0.528045,0.816095,0.961017,0.086509,0.777788,0.516457,file,2.377847
0.107718,0.586286,0.175377,0.303162,0.560604,0.684376,0.479036,week-4,2.205554
0.175978,0.624416,0.295542,0.469553,0.097770,0.728141,0.475396,file,2.188793
0.090408,0.599655,0.299291,0.287006,0.599215,0.826037,0.335537,week-6,1.544865
0.417626,0.064100,0.245669,0.559041,0.191531,0.254641,0.274893,file,1.265647
0.630218,0.838097,0.680013,0.731895,0.526737,0.348429,0.273047,file,1.257149
0.942451,0.377440,0.486122,0.228791,0.082632,0.711958,0.268400,file,1.235756
0.722615,0.011813,0.063646,0.165173,0.079244,0.359952,0.206310,file,0.949881
0.686853,0.041017,0.007573,0.285009,0.691568,0.655543,0.100507,file,0.462748
0.476823,0.340942,0.014335,0.880140,0.998655,0.079664,0.095411,file,0.439287
0.195252,0.079227,0.554580,0.170567,0.014944,0.107032,0.092645,file,0.426551
0.764919,0.255883,0.609084,0.218079,0.322943,0.095794,0.083747,file,0.385582
0.528497,0.457424,0.360096,0.362046,0.816891,0.637476,0.073516,file,0.338480
0.726286,0.464896,0.924571,0.807245,0.635438,0.143418,0.066763,file,0.307388
0.118867,0.615055,0.905816,0.855300,0.413631,0.585236,0.061424,file,0.282807
0.319810,0.520098,0.290678,0.876707,0.495035,0.619082,0.042118,file,0.193919
0.789943,0.195545,0.575623,0.073659,0.259049,0.051100,0.033565,file,0.154538
0.000000,0.990970,0.990603,0.000000,0.000000,1.017683,0.028769,week-5,0.132458
0.056006,0.252690,0.914472,0.121294,0.362425,1.007224,0.025550,week-x,0.117638
0.056006,0.252690,0.914472,0.121294,0.362425,1.007224,0.024708,week-x,0.113759
0.806282,0.324122,0.726076,0.148712,0.719376,0.362884,0.021343,file,0.098264
0.541241,0.631403,0.031902,0.449982,0.798653,0.633704,0.018209,file,0.083837
0.642303,0.836875,0.021793,0.101488,0.683071,0.692416,0.017870,file,0.082274
0.817112,0.548168,0.103348,0.124370,0.728235,0.449674,0.014798,file,0.068133
0.075665,0.334502,0.132733,0.608312,0.918386,0.822331,0.008826,file,0.040635
0.090832,0.661529,0.065931,0.258577,0.963453,0.640265,0.007503,file,0.034546
0.226348,0.115026,0.824750,0.945384,0.905312,0.951014,0.007016,file,0.032303
0.056006,0.252690,0.914472,0.121294,0.362425,1.007224,0.006745,week-x,0.031053
0.056006,0.252690,0.914472,0.121294,0.362425,1.007224,0.006493,week-x,0.029896
0.932466,0.488812,0.258608,0.956243,0.190428,0.519852,0.003777,file,0.017392
0.846867,0.142429,0.060669,0.756292,0.552398,0.081306,0.003134,file,0.014431
0.879871,0.397962,0.003635,0.956991,0.264514,0.114869,0.002701,file,0.012438
