compound-1,compound-2,compound-3,trans-side-effect,source,trans-side-effect-scaled
0.6054628771929825,1.230288947368421,0.01,1.515885904401713,week-x,10.0
0.6285876491228071,0.4392473684210526,0.6345498746867169,1.106379231497433,week-x,7.298565335852876
0.3279656140350878,0.27981263157894737,0.5167102756892231,0.7021262171606241,week-x,4.631788019941632
0.5996816842105264,0.42698315789473684,0.5579541353383459,0.4443719660470339,week-x,2.931434118865415
0.6170252631578947,0.42698315789473684,0.5815220551378446,0.12717513131641034,week-x,0.8389492305926782
0.6285876491228071,0.4392473684210526,0.6345498746867169,0.07901854243301824,week-x,0.5212697222368139
0.4489,0.470829,0.414315,-0.02040441290319508,week-4,-0.13460388307554225
0.45,0.47,0.4,-0.029031619136784075,week-9,-0.19151585915855732
0.303031,0.242424,0.474748,-0.030680318237259866,week-2,-0.20239200158912168
0.49258141463713434,0.6115931882759961,0.3401763860035727,-0.034835313350078584,file,-0.22980168394551645
0.6000972824185008,0.7251357252228826,0.06608864149534865,-0.036377828071632486,file,-0.23997734899441536
0.394576,0.615328,0.367214,-0.037692123265023345,week-8,-0.24864749487791826
0.2205493370831766,0.2978252442230862,0.34355534441672586,-0.04694740582651916,file,-0.309702766482602
0.13462166632061112,0.2199172404897456,0.45820621964922703,-0.04800758439218157,file,-0.3166965551482525
0.263346,0.138532,0.363743,-0.048179209676502605,week-3,-0.31782873326154376
0.9659948489488087,0.8611196897300882,0.5668291312870885,-0.05675837155397648,file,-0.3744237702136149
0.2421144606124933,0.6440742697791076,0.27243280919945523,-0.08796286022736445,file,-0.5802736206725365
0.17047699396968063,0.697032400686134,0.14916943370830027,-0.09418956091057398,file,-0.6213499356189907
0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.10596503573558178,file,-0.6990304179746553
0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.11062091307282658,file,-0.7297443214665039
0.464647,0.666667,0.171718,-0.11118571432117087,week-1,-0.7334702037819492
0.5349057202251034,0.39850091536763166,0.17338872894567725,-0.111414654295324,file,-0.7349804755872898
0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.11212220046256897,file,-0.7396480179477699
0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.11386851478863991,file,-0.7511681087474806
0.357938,0.038532,0.517008,-0.1175388643248932,week-5,-0.7753806799284357
0.046808949722497384,0.2313602407834674,0.7706175921643,-0.11804825644688696,file,-0.7787410391778663
0.137356,0.196578,0.292441,-0.12635616438454833,week-7,-0.833546667448025
0.7469119451655177,0.28419630922573424,0.22629985488752546,-0.13146060864136055,file,-0.8672196783388205
1.063348,1.133355,0.01,-0.1383251424785816,week-11,-0.9125036526622728
0.11613,0.051462,0.314168,-0.1482910205289665,week-6,-0.978246582400235
0.151836632374168,0.43999061896644376,0.990881866558951,-0.3989255131463011,file,-2.6316328424714013
0.476973,1.036177,1.08545,-0.751389275062385,week-10,-4.956766685939611
