number-1,number-2,log-likelyhood-score,source,log-likelyhood-score-scaled
0.04320637089793379,1.0993231218494475,1.6469691533856814,week-x,10.0
0.04320637089793379,1.0993231218494475,1.074569224583654,week-x,6.524525504164164
0.7026365569244406,0.9265641975455574,0.6112052157614438,file,3.711090851367718
0.715,0.95,0.5976293971773099,week-8,3.6286617508819803
0.691873,0.263356,0.5960813635984847,week-4,3.6192624638604665
0.721765,0.565232,0.570095676491088,week-11,3.4614836308205286
0.72,0.95,0.565857330050682,week-9,3.4357494121091867
0.6657995800131589,0.12396912767534907,0.5389961189269181,file,3.2726546081260937
0.722766,0.839711,0.5338269840060812,week-3,3.2412688659571485
0.04320637089793379,1.0993231218494475,0.5021692957816265,week-x,3.049051008328328
0.658567,0.384858,0.4902737196519932,week-10,2.9768239353125434
0.8777909889953304,0.7786275008473289,0.42058623962798264,file,2.5536983419718684
0.8452754286767249,0.7111202665952655,0.293992912410866,file,1.7850541511752271
0.4381660616117107,0.6850182567997548,0.24461934400448035,file,1.4852697362401435
0.45464714105124415,0.2904551797740609,0.2149645101004509,file,1.3052127276248462
0.616162,1.0,0.18011924802681153,week-2,1.09364068936288
0.818182,0.939394,0.051646432712366415,week-1,0.31358469954459456
1.077791,0.61799,0.04170782561126679,week-7,0.25323987110218693
0.34174959302885033,0.028697719822277867,0.0387490151561584,file,0.23527468669648058
0.5777128444074784,0.7719731841154063,0.023105549798190586,file,0.14029133302644078
0.977791,0.26196,0.021320835230587712,week-6,0.12945497604954156
0.790304,0.104833,0.01686172630224915,week-5,0.10238034068571611
0.04320637089793379,1.0993231218494475,0.004315859891143598,week-x,0.026204861713842467
0.04320637089793379,1.0993231218494475,0.0025471549040456667,week-x,0.015465711053600912
0.04320637089793379,1.0993231218494475,0.0007703687917803067,week-x,0.004677493747813408
0.04320637089793379,1.0993231218494475,0.00044190560706870854,week-x,0.00268314440595491
0.04320637089793379,1.0993231218494475,0.0004341725319199326,week-x,0.0026361910362887025
0.04320637089793379,1.0993231218494475,6.620107627249971e-05,week-x,0.0004019569895186554
0.33864815688701766,0.21386724563864368,-0.013857618149729824,file,-0.08414011957201907
0.14269907423594608,0.34900513057320015,-0.06562362443733738,file,-0.3984508410642338
