hype-para-1,hype-para-2,hype-para-3,hype-para-4,hype-para-5,hype-para-6,hype-para-7,hype-para-8,output,source,output-scaled
0.259971,0.073653,0.072949,0.08003,1.111013,0.138991,0.251892,0.458765,9.74225711019,week-10,10.0
0.15,0.15,0.05,0.05,0.35,0.75,0.5,0.85,9.6158,week-9,9.870197317972925
0.121212,0.121212,0.0,0.0,0.363636,0.727273,0.484849,0.848484,9.6097592309634,week-2,9.863996733274456
0.056447411065611686,0.06595555344270987,0.02292867798954412,0.038786472359111146,0.4039354405187773,0.8010553292222439,0.48830700691299356,0.8930849765397529,9.598482002566342,file,9.852421152513749
0.045306,0.045319,0.045319,0.033695,0.337741,0.771663,0.496881,0.775992,9.5880031008211,week-8,9.841665019076988
0.043751,0.045306,0.045319,0.033695,0.337741,0.771663,0.496881,0.775992,9.5876553462161,week-3,9.841308064214202
0.01,0.661416,0.01,0.21265,0.889104,0.671374,0.01,0.450308,9.5673490736736,week-6,9.820464565307507
0.0,0.125,0.0,0.0,0.375,0.75,0.5,0.875,9.5658,week-1,9.81887450906481
0.138474,0.190151,0.378834,0.303465,1.05749,0.950823,0.074575,0.795668,9.5144374297026,week-7,9.76615308145675
0.1926398677800527,0.6306772792454518,0.4167958365821345,0.4905292886361583,0.7960860234515075,0.6545670649893544,0.2762411926390952,0.2955175859389456,9.34427428080805,file,9.591488065978389
0.0,0.0,0.0,0.845416,0.918723,0.589616,0.0,0.0,9.2921179841235,week-5,9.53795191301647
0.4812453308565994,0.10246072091326408,0.2194859389283209,0.6773223694407319,0.24750918685503787,0.24434085824488616,0.16382452736791453,0.7159616402220536,9.1830052453254,file,9.42595246816095
0.14512028581190983,0.11932754034068549,0.42088822447853236,0.3876086068404241,0.15542283258858014,0.875171626087512,0.5105596718475363,0.7286105792079107,9.141639493309754,file,9.383492336440161
0.056244,0.488132,0.016288,0.866562,1.207249,0.263467,0.047541,1.010112,9.127404806122101,week-11,9.368881053832187
0.480871,0.190087,0.193605,0.710357,0.197956,0.208186,0.219257,0.503654,9.1140770207914,week-4,9.35520066623827
0.044329253217857634,0.01358148717602381,0.2581982401822518,0.5776441629885444,0.051279922965055236,0.15856307126952174,0.5910301241317102,0.07795293354499289,9.013075145673822,file,9.251526667517854
0.14355029577309197,0.9374145150809793,0.23232481818451745,0.009043485399991336,0.4145789302289685,0.4093251687604176,0.5537785219652758,0.20584080042030672,8.976554022457023,file,9.214039334958546
0.028946630211276192,0.02827905775516104,0.4813715545782372,0.6131746000769195,0.6726604483911784,0.022113406876058894,0.6014833018831927,0.5248850529741089,8.83074504574746,file,9.064372809983492
0.33895441869387377,0.5669320176320151,0.37675109831120723,0.0989157289758148,0.6594516874356163,0.24554808965847674,0.7624827837090847,0.7321534670964162,8.817558441363609,file,9.050837338444708
0.35990926424958747,0.24907567901155137,0.4959971701962457,0.709214980573863,0.11498719465194007,0.28920692081786503,0.5572951508023158,0.593881726256155,8.606116791392116,file,8.833801750510641
0.7788183442411031,0.0034194994840646142,0.3379831296954995,0.5195277781785284,0.8209069931953403,0.5372466890767038,0.5513470979709983,0.6600320863046285,8.541747923679363,file,8.767729928565576
0.47207070852799804,0.16820264498257953,0.08642756615940228,0.45265551274263305,0.48061922026880244,0.6224394886935388,0.9289744624151506,0.11253626719364063,8.472936316651243,file,8.697097829402285
0.009076976680729043,0.8116261525080638,0.5205203597642096,0.07568667521428252,0.2651118251498523,0.09165168939924984,0.5924151454340054,0.36732026219027936,8.45948161622808,file,8.683287169027608
0.5328195296846364,0.8623084840156144,0.5382671189143975,0.04944293492608676,0.7197011888487516,0.906705898821978,0.10823094329185745,0.525347912713709,8.42175923792568,file,8.644566800764133
0.5060281642263985,0.6537301230139242,0.3634107791850698,0.17798104853190577,0.09372830436573298,0.1974253305870869,0.7558269002800702,0.29247233865659084,8.284007811285548,file,8.503170997838701
0.3948651871629736,0.3318016662036827,0.7407543009490176,0.6978617248875726,0.7374044390612048,0.7837768101825778,0.2544954605733617,0.8711455102767413,8.27806239964175,file,8.497068293325206
0.159268,1.070344,0.018966,0.694075,0.122771,1.042117,0.116078,0.974335,8.261629402623,week-12,8.48020054200959
0.862437445195637,0.4827338218170769,0.28186939752580076,0.544102226961036,0.8874902597447282,0.3826546933826803,0.6019019931738884,0.47646168993836713,8.159983191736115,file,8.375865160857959
0.5327214008005816,0.8336925970506041,0.07139900368041063,0.1168114830026653,0.7306931104302237,0.9373755913975307,0.8665079814513607,0.12790199887479226,8.042212541982503,file,8.254978749812176
0.856006952569257,0.638893704341963,0.32619202225787736,0.6685031149075511,0.24029836908275548,0.210298890307674,0.16754636220200514,0.9635898631514271,7.977684585372973,file,8.188743630086137
0.7611373255704504,0.854672389975273,0.3821243305126353,0.3373519833714853,0.6897083204676573,0.309853052128114,0.6313796832481015,0.04195606945702324,7.957874742347002,file,8.168409694323703
0.38222496529770156,0.5571358370391387,0.8531016337098967,0.33379569194863146,0.26572127189201544,0.4808729162150689,0.2376470623766298,0.7686319560230626,7.923758772464366,file,8.133391146263673
0.1120713135258371,0.4377356632709851,0.5965987845349814,0.5927756332692748,0.22698177026421584,0.410104518579152,0.9212375769715897,0.6747527590271146,7.854540990501387,file,8.062342126329083
0.4470958412516257,0.8439525266607225,0.7295461151130483,0.639151377764411,0.40928713656033655,0.13264569412604765,0.03590887616954386,0.44683847012021494,7.692368045766445,file,7.8958787052751305
0.8100317362265036,0.6350460408760253,0.269547579489845,0.8696053381198416,0.6619215896902044,0.2522587265176317,0.7656700328121555,0.890548667016464,7.460872194740431,file,7.658258358770542
0.7962525237327237,0.0070365325238340715,0.35569738041768384,0.48756605263746977,0.740519615145832,0.7066501025423233,0.992914494924961,0.3817343673185454,7.436593526746213,file,7.6333373700103255
