cont-src-1,cont-src-2,radiation-reading,source,radiation-reading-scaled
0.470028,1.055612,0.997751,week-x,10.000000
0.460241,1.061389,0.874507,week-x,8.764787
0.337893,0.882307,0.358264,week-x,3.590714
0.416195,1.020951,0.318984,week-x,3.197028
0.416195,1.020951,0.042415,week-x,0.425103
0.416195,1.020951,0.035790,week-x,0.358707
0.731024,0.733000,0.000000,file,0.000000
0.683418,0.861057,0.000000,file,0.000000
0.574329,0.879898,0.000000,file,0.000000
0.883890,0.582254,0.000000,file,0.000000
0.319404,0.762959,0.000000,file,0.000000
0.082507,0.403488,0.000000,file,0.000000
0.840353,0.264732,0.000000,file,0.000000
0.579291,1.059596,0.000000,week-3,0.000000
0.472352,1.055087,-0.000000,week-6,-0.000000
0.469395,1.050091,-0.000000,week-5,-0.000000
0.404040,0.959596,-0.000000,week-2,-0.000000
0.312691,0.078723,-0.000000,file,-0.000000
0.436769,0.825163,-0.000000,week-4,-0.000000
0.410437,0.147554,-0.000000,file,-0.000000
0.848485,0.777778,-0.000000,week-1,-0.000000
0.650114,0.681526,-0.003606,file,-0.036142
