hype-para--1,hype-para-2,hype-para-3,hype-para-4,opt-place-score,source,opt-place-score-scaled
0.2575949815519991,0.3712812846998682,0.439009345717442,0.4410196533543354,2.0318377916946755,week-x,10.0
0.3123358444925056,0.5154514140753106,0.3449840068855493,0.4247743249177899,1.7190432333693935,week-x,8.460533810307798
0.39876241780412086,0.48633919184072416,0.4344594730562688,0.3868566766432548,1.507093466520887,week-x,7.417390663178284
0.5697683790741461,0.4660907597846296,0.45740029893033446,0.25497013762837595,0.4211439705572835,week-x,2.0727243694292343
0.5697683790741461,0.4660907597846296,0.45740029893033446,0.25497013762837595,0.4211439705572835,week-x,2.0727243694292343
0.39876241780412086,0.48633919184072416,0.4344594730562688,0.3868566766432548,0.032372769463948306,week-x,0.1593275289802906
0.39876241780412086,0.48633919184072416,0.4344594730562688,0.3868566766432548,0.032372769463948306,week-x,0.1593275289802906
0.3123358444925056,0.5154514140753106,0.3449840068855493,0.4247743249177899,0.022104702441623707,week-x,0.10879166896087235
0.3123358444925056,0.5154514140753106,0.3449840068855493,0.4247743249177899,0.0025043683937523934,week-x,0.01232563152427438
0.5777656143780968,0.4287717415443063,0.4258258674882194,0.24900741466191134,-4.025542281908162,file,-19.81232113293166
0.572134,0.415866,0.465114,0.491781,-4.550362897100278,week-7,-22.39530594272981
0.469388,0.44898,0.469388,0.204082,-4.620232320523549,week-1,-22.73917898076891
0.573921,0.509823,0.408512,0.282146,-4.84733587428212,week-9,-23.8569038045067
0.515152,0.484848,0.363636,0.181819,-4.939960051262183,week-2,-24.312767837347675
0.515152,0.484848,0.363636,0.181819,-5.313374447160626,week-3,-26.15058381569402
0.3260757847990565,0.47236690365870715,0.45319199560129586,0.10588733843025877,-6.702089254839066,file,-32.98535583024626
0.343612,0.592249,0.651353,0.444513,-7.221570128386034,week-5,-35.54206028603695
0.445393,0.174795,0.339088,0.116347,-7.6005772787938355,week-6,-37.40740185984283
0.562431,0.218906,0.624578,0.326147,-7.6909155928365855,week-8,-37.85201566913418
0.28213836819277516,0.5059869120612994,0.5305308425014074,0.09630162301775336,-7.9667753510303925,file,-39.20970159918927
0.1248711812207095,0.12977019306510673,0.38440048300130336,0.28707610106061277,-10.069633426012889,file,-49.55923876981442
0.1703473054043091,0.7569590826298485,0.2765204860603998,0.5312314975365982,-11.565741989583191,file,-56.92256555547509
0.25094624275233424,0.03369313054735357,0.14538002473552147,0.49493242056497855,-11.699932463834426,file,-57.583004468461894
0.2477082618994807,0.060445427321989764,0.04218634513719777,0.44132425054403157,-12.68168497681565,file,-62.414849397196996
0.6260705961944015,0.5867512592598441,0.4388057821707446,0.7788576937904925,-12.741765988316185,file,-62.71054727104363
0.21691118811255716,0.16608582897898938,0.24137225639083593,0.7700624756956358,-12.758324216781741,file,-62.792041121257654
0.111733,0.041201,0.540545,0.286416,-12.867749036987885,week-4,-63.33059208557886
0.7386130139763387,0.48210263436120226,0.7093664425017454,0.503970013890856,-13.122782331852594,file,-64.58577739568177
0.7328124260168783,0.14524997897358805,0.47681271763115285,0.13336573404584584,-13.527648872277506,file,-66.57838990677809
0.03782482853334601,0.6648533464557935,0.1619821750221554,0.2539237802262948,-13.702746938161251,file,-67.44016177951062
0.8893563957199797,0.49958785537696504,0.5392688577643431,0.5087834390633533,-14.601396631953161,file,-71.86300349190135
0.8013027073487429,0.5002310937156627,0.7066445599562093,0.19510284101191622,-15.487082537755288,file,-76.22204194183298
0.7467022420948025,0.7570915044306501,0.3693530595537917,0.20656628103766395,-16.02639976898352,file,-78.87637406141823
0.34696206091432413,0.006250400244917853,0.7605636064368956,0.6130235572343078,-16.053765110568296,file,-79.01105676934223
0.21973442915914299,0.8320313351480582,0.4828641624528299,0.08256923057524457,-16.50715856428234,file,-81.24250189536228
0.6551154792459779,0.07239182690482326,0.6871517458198465,0.08151656419033015,-16.679115197479913,file,-82.08881272736109
0.400665027194423,0.07257425107127335,0.8867682538447798,0.24384228978922717,-17.049234647535723,file,-83.91041212652921
0.48859418950356637,0.2119650955674609,0.9391779073552307,0.37619172590371996,-17.81799933882949,file,-87.69400496271015
0.023071,0.311456,0.668805,0.752116,-18.09726561495884,week-10,-89.06845659103833
0.38748783671725395,0.8045322581845359,0.7517954827501873,0.7238274385488449,-19.441557624451722,file,-95.68459501994147
0.6649553897315406,0.04656627674464964,0.11677746938768019,0.7937177796214518,-19.98949792679556,file,-98.38136690096266
0.8969810543559719,0.7256279703482243,0.17540430890241154,0.7016943693717497,-22.108287785435817,file,-108.80931477800779
0.854810796763389,0.4939646196379057,0.7353099749980351,0.808092012668331,-23.139428397634813,file,-113.88423077973725
0.16713048556058774,0.8765545582566224,0.21723954496692865,0.9598009845510594,-26.561820829779602,file,-130.7280578122599
0.8596569193380881,0.9195923219593923,0.2061387278543615,0.09779683100452252,-26.857786437773637,file,-132.18469775273064
0.9571352930644363,0.5976443830130996,0.7661138515714809,0.7762099053238541,-27.316396356142608,file,-134.44181650622357
0.9856218929694016,0.6669326785131365,0.15678328252958762,0.8565348006982442,-28.90327367383377,file,-142.25187557775806
0.6834863848727072,0.9027701030814779,0.3354198256002018,0.9994825612275692,-29.427091401989347,file,-144.82992452584207
0.9483893624466845,0.8945130079782345,0.8516378174441099,0.5521962863978067,-32.625660215962455,file,-160.5721694385391
